=== Model information ===

Filename:     RBF.model
Scheme:weka.classifiers.functions.RBFNetwork -B 40 -S 1 -R 1.0E-8 -M -1 -W 0.2
Relation:data_prep
Attributes:   1559
[list of attributes omitted]

=== Classifier model ===

Radial basis function network
(Logistic regression applied to K-means clusters as basis functions):

Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                         Class
Variable                    ad
==============================
pCluster_0_0           17.7691
pCluster_0_1           17.6637
pCluster_0_2           17.7691
pCluster_0_3           17.7691
pCluster_0_4           -4.5661
pCluster_0_5           -2.1431
pCluster_0_6           17.8045
pCluster_0_7           17.8758
pCluster_0_8           17.6812
pCluster_0_9           17.7162
pCluster_0_10          17.8401
pCluster_0_11          -1.4119
pCluster_0_12          -4.2818
pCluster_0_13          17.6638
pCluster_0_14          17.8222
pCluster_0_15          17.6812
pCluster_0_16          -4.4767
pCluster_0_17          17.6637
pCluster_0_18          17.7162
pCluster_0_19          17.6462
pCluster_0_20           5.5389
pCluster_0_21          -3.7148
pCluster_0_22          17.7514
pCluster_0_23          -3.0931
pCluster_0_24          17.6637
pCluster_0_25          17.9687
pCluster_0_26          -0.6081
pCluster_0_27          -0.0257
pCluster_0_28          17.6462
pCluster_0_29          17.7338
pCluster_0_30          -2.6088
pCluster_0_31          -4.7625
pCluster_0_32          -3.4642
pCluster_0_33          -2.7983
pCluster_0_34          -4.3975
pCluster_0_35          17.8758
pCluster_0_36           -4.083
pCluster_0_37          -0.5985
pCluster_0_38          17.6637
pCluster_0_39          -0.6879
Intercept               2.7983


Odds Ratios...
                         Class
Variable                    ad
==============================
pCluster_0_0     52120113.4081
pCluster_0_1     46907181.1007
pCluster_0_2     52120113.3902
pCluster_0_3     52122091.7816
pCluster_0_4            0.0104
pCluster_0_5            0.1173
pCluster_0_6     53999543.0072
pCluster_0_7     57990361.3992
pCluster_0_8     47733890.4219
pCluster_0_9     49436748.1746
pCluster_0_10    55955156.7205
pCluster_0_11           0.2437
pCluster_0_12           0.0138
pCluster_0_13    46914283.3512
pCluster_0_14    54967337.3476
pCluster_0_15    47733889.9763
pCluster_0_16           0.0114
pCluster_0_17     46907181.082
pCluster_0_18    49436748.4276
pCluster_0_19    46096484.4174
pCluster_0_20         254.3919
pCluster_0_21           0.0244
pCluster_0_22    51207945.6367
pCluster_0_23           0.0454
pCluster_0_24    46907179.8364
pCluster_0_25    63636106.4434
pCluster_0_26           0.5444
pCluster_0_27           0.9746
pCluster_0_28    46096483.6151
pCluster_0_29    50313617.1879
pCluster_0_30           0.0736
pCluster_0_31           0.0085
pCluster_0_32           0.0313
pCluster_0_33           0.0609
pCluster_0_34           0.0123
pCluster_0_35    57990360.2548
pCluster_0_36           0.0169
pCluster_0_37           0.5496
pCluster_0_38    46907178.6082
pCluster_0_39           0.5026


=== Re-evaluation on test set ===

User supplied test set
Relation:     data_prep_300_test
Instances:    300
Attributes:   1559

=== Predictions on test set ===

inst#,    actual, predicted, error, probability distribution
     1       1:ad    2:nonad      +   0.185 *0.815
     2    2:nonad    2:nonad          0.185 *0.815
     3          ?       1:ad      +  *0.5    0.5  
     4          ?       1:ad      +  *1      0    
     5          ?    2:nonad      +   0.185 *0.815
     6          ?    2:nonad      +   0.123 *0.877
     7          ?    2:nonad      +   0.185 *0.815
     8          ?       1:ad      +  *0.658  0.342
     9          ?    2:nonad      +   0.157 *0.843
    10          ?    2:nonad      +   0.185 *0.815
    11          ?    2:nonad      +   0.185 *0.815
    12          ?    2:nonad      +   0.339 *0.661
    13          ?    2:nonad      +   0.427 *0.573
    14          ?    2:nonad      +   0.339 *0.661
    15          ?    2:nonad      +   0.146 *0.854
    16          ?    2:nonad      +   0.146 *0.854
    17          ?       1:ad      +  *0.892  0.108
    18          ?    2:nonad      +   0.339 *0.661
    19          ?    2:nonad      +   0.185 *0.815
    20          ?    2:nonad      +   0.185 *0.815
    21          ?       1:ad      +  *1      0    
    22          ?    2:nonad      +   0.339 *0.661
    23          ?    2:nonad      +   0.157 *0.843
    24          ?    2:nonad      +   0.185 *0.815
    25          ?    2:nonad      +   0.427 *0.573
    26          ?    2:nonad      +   0.157 *0.843
    27          ?    2:nonad      +   0.339 *0.661
    28          ?    2:nonad      +   0.146 *0.854
    29          ?    2:nonad      +   0.146 *0.854
    30          ?    2:nonad      +   0.146 *0.854
    31          ?    2:nonad      +   0.123 *0.877
    32          ?    2:nonad      +   0.339 *0.661
    33          ?    2:nonad      +   0.339 *0.661
    34          ?       1:ad      +  *1      0    
    35          ?    2:nonad      +   0.339 *0.661
    36          ?    2:nonad      +   0.339 *0.661
    37          ?    2:nonad      +   0.339 *0.661
    38          ?       1:ad      +  *1      0    
    39          ?    2:nonad      +   0.339 *0.661
    40          ?    2:nonad      +   0.339 *0.661
    41          ?    2:nonad      +   0.427 *0.573
    42          ?    2:nonad      +   0.168 *0.832
    43          ?    2:nonad      +   0.168 *0.832
    44          ?    2:nonad      +   0.168 *0.832
    45          ?    2:nonad      +   0.427 *0.573
    46          ?    2:nonad      +   0.168 *0.832
    47          ?    2:nonad      +   0.123 *0.877
    48          ?    2:nonad      +   0.185 *0.815
    49          ?    2:nonad      +   0.157 *0.843
    50          ?    2:nonad      +   0.185 *0.815
