=== Model information ===

Filename:     rf.model
Scheme:weka.classifiers.trees.RandomForest -I 1 -K 300 -S 10
Relation:data_prep
Attributes:   1559
[list of attributes omitted]

=== Classifier model ===

Random forest of 1 trees, each constructed while considering 300 random features.
Out of bag error: 0.413



=== Re-evaluation on test set ===

User supplied test set
Relation:     data_prep_300_test
Instances:    300
Attributes:   1559

=== Predictions on test set ===

inst#,    actual, predicted, error, probability distribution
     1       1:ad       1:ad         *1      0    
     2    2:nonad       1:ad      +  *1      0    
     3          ?       1:ad      +  *1      0    
     4          ?       1:ad      +  *1      0    
     5          ?       1:ad      +  *1      0    
     6          ?       1:ad      +  *1      0    
     7          ?       1:ad      +  *1      0    
     8          ?       1:ad      +  *1      0    
     9          ?       1:ad      +  *1      0    
    10          ?    2:nonad      +   0     *1    
    11          ?       1:ad      +  *1      0    
    12          ?       1:ad      +  *1      0    
    13          ?       1:ad      +  *1      0    
    14          ?       1:ad      +  *1      0    
    15          ?       1:ad      +  *1      0    
    16          ?       1:ad      +  *1      0    
    17          ?       1:ad      +  *1      0    
    18          ?       1:ad      +  *1      0    
    19          ?       1:ad      +  *1      0    
    20          ?       1:ad      +  *1      0    
    21          ?       1:ad      +  *1      0    
    22          ?       1:ad      +  *1      0    
    23          ?       1:ad      +  *1      0    
    24          ?       1:ad      +  *1      0    
    25          ?       1:ad      +  *1      0    
    26          ?       1:ad      +  *1      0    
    27          ?       1:ad      +  *1      0    
    28          ?       1:ad      +  *1      0    
    29          ?       1:ad      +  *1      0    
    30          ?       1:ad      +  *1      0    
    31          ?       1:ad      +  *1      0    
    32          ?    2:nonad      +   0     *1    
    33          ?       1:ad      +  *1      0    
    34          ?       1:ad      +  *1      0    
    35          ?       1:ad      +  *1      0    
    36          ?       1:ad      +  *1      0    
    37          ?       1:ad      +  *1      0    
    38          ?       1:ad      +  *1      0    
    39          ?       1:ad      +  *1      0    
    40          ?       1:ad      +  *1      0    
    41          ?       1:ad      +  *1      0    
    42          ?       1:ad      +  *1      0    
    43          ?       1:ad      +  *1      0    
    44          ?       1:ad      +  *1      0    
    45          ?       1:ad      +  *1      0    
    46          ?       1:ad      +  *1      0    
    47          ?       1:ad      +  *1      0    
    48          ?       1:ad      +  *1      0    
    49          ?       1:ad      +  *1      0    
    50          ?    2:nonad      +   0     *1    
    51          ?    2:nonad      +   0     *1    
    52          ?    2:nonad      +   0     *1    
    53          ?    2:nonad      +   0     *1    
    54          ?    2:nonad      +   0     *1    
    55          ?    2:nonad      +   0     *1    
    56          ?    2:nonad      +   0     *1    
    57          ?       1:ad      +  *1      0    
    58          ?    2:nonad      +   0     *1    
    59          ?    2:nonad      +   0     *1    
    60          ?    2:nonad      +   0     *1    
    61          ?    2:nonad      +   0     *1    
    62          ?    2:nonad      +   0     *1    
    63          ?    2:nonad      +   0     *1    
    64          ?    2:nonad      +   0     *1    
    65          ?    2:nonad      +   0     *1    
    66          ?    2:nonad      +   0     *1    
    67          ?    2:nonad      +   0     *1    
    68          ?    2:nonad      +   0     *1    
    69          ?    2:nonad      +   0     *1    
    70          ?    2:nonad      +   0     *1    
    71          ?    2:nonad      +   0     *1    
    72          ?    2:nonad      +   0     *1    
    73          ?    2:nonad      +   0     *1    
    74          ?    2:nonad      +   0     *1    
    75          ?       1:ad      +  *1      0    
    76          ?    2:nonad      +   0     *1    
    77          ?    2:nonad      +   0     *1    
    78          ?    2:nonad      +   0     *1    
    79          ?    2:nonad      +   0     *1    
    80          ?    2:nonad      +   0     *1    
    81          ?    2:nonad      +   0     *1    
    82          ?    2:nonad      +   0     *1    
    83          ?    2:nonad      +   0     *1    
    84          ?    2:nonad      +   0     *1    
    85          ?    2:nonad      +   0     *1    
    86          ?    2:nonad      +   0     *1    
    87          ?    2:nonad      +   0     *1    
    88          ?    2:nonad      +   0     *1    
    89          ?    2:nonad      +   0     *1    
    90          ?    2:nonad      +   0     *1    
    91          ?    2:nonad      +   0     *1    
    92          ?    2:nonad      +   0     *1    
    93          ?    2:nonad      +   0     *1    
    94          ?    2:nonad      +   0     *1    
    95          ?       1:ad      +  *1      0    
    96          ?    2:nonad      +   0     *1    
    97          ?    2:nonad      +   0     *1    
    98          ?    2:nonad      +   0     *1    
    99          ?    2:nonad      +   0     *1    
   100          ?    2:nonad      +   0     *1    
   101          ?    2:nonad      +   0     *1    
   102          ?    2:nonad      +   0     *1    
   103          ?    2:nonad      +   0     *1    
   104          ?    2:nonad      +   0     *1    
   105          ?    2:nonad      +   0     *1    
   106          ?    2:nonad      +   0     *1    
   107          ?    2:nonad      +   0     *1    
   108          ?    2:nonad      +   0     *1    
   109          ?    2:nonad      +   0     *1    
   110          ?    2:nonad      +   0     *1    
   111          ?    2:nonad      +   0     *1    
   112          ?    2:nonad      +   0     *1    
   113          ?    2:nonad      +   0     *1    
   114          ?    2:nonad      +   0     *1    
   115          ?    2:nonad      +   0     *1    
   116          ?    2:nonad      +   0     *1    
   117          ?    2:nonad      +   0     *1    
   118          ?    2:nonad      +   0     *1    
   119          ?    2:nonad      +   0     *1    
   120          ?    2:nonad      +   0     *1    
   121          ?    2:nonad      +   0     *1    
   122          ?    2:nonad      +   0     *1    
   123          ?    2:nonad      +   0     *1    
   124          ?    2:nonad      +   0     *1    
   125          ?       1:ad      +  *1      0    
   126          ?    2:nonad      +   0     *1    
   127          ?       1:ad      +  *1      0    
   128          ?    2:nonad      +   0     *1    
   129          ?    2:nonad      +   0     *1    
   130          ?    2:nonad      +   0     *1    
   131          ?    2:nonad      +   0     *1    
   132          ?    2:nonad      +   0     *1    
   133          ?    2:nonad      +   0     *1    
   134          ?    2:nonad      +   0     *1    
   135          ?    2:nonad      +   0     *1    
   136          ?    2:nonad      +   0     *1    
   137          ?    2:nonad      +   0     *1    
   138          ?    2:nonad      +   0     *1    
   139          ?    2:nonad      +   0     *1    
   140          ?    2:nonad      +   0     *1    
   141          ?    2:nonad      +   0     *1    
   142          ?    2:nonad      +   0     *1    
   143          ?    2:nonad      +   0     *1    
   144          ?    2:nonad      +   0     *1    
   145          ?    2:nonad      +   0     *1    
   146          ?    2:nonad      +   0     *1    
   147          ?       1:ad      +  *1      0    
   148          ?    2:nonad      +   0     *1    
   149          ?    2:nonad      +   0     *1    
   150          ?    2:nonad      +   0     *1    
   151          ?       1:ad      +  *1      0    
   152          ?    2:nonad      +   0     *1    
   153          ?    2:nonad      +   0     *1    
   154          ?    2:nonad      +   0     *1    
   155          ?    2:nonad      +   0     *1    
   156          ?    2:nonad      +   0     *1    
   157          ?    2:nonad      +   0     *1    
   158          ?    2:nonad      +   0     *1    
   159          ?    2:nonad      +   0     *1    
   160          ?    2:nonad      +   0     *1    
   161          ?       1:ad      +  *1      0    
   162          ?    2:nonad      +   0     *1    
   163          ?       1:ad      +  *1      0    
   164          ?    2:nonad      +   0     *1    
   165          ?    2:nonad      +   0     *1    
   166          ?    2:nonad      +   0     *1    
   167          ?    2:nonad      +   0     *1    
   168          ?    2:nonad      +   0     *1    
   169          ?    2:nonad      +   0     *1    
   170          ?    2:nonad      +   0     *1    
   171          ?    2:nonad      +   0     *1    
   172          ?    2:nonad      +   0     *1    
   173          ?    2:nonad      +   0     *1    
   174          ?    2:nonad      +   0     *1    
   175          ?    2:nonad      +   0     *1    
   176          ?    2:nonad      +   0     *1    
   177          ?    2:nonad      +   0     *1    
   178          ?       1:ad      +  *1      0    
   179          ?    2:nonad      +   0     *1    
   180          ?    2:nonad      +   0     *1    
   181          ?    2:nonad      +   0     *1    
   182          ?    2:nonad      +   0     *1    
   183          ?    2:nonad      +   0     *1    
   184          ?    2:nonad      +   0     *1    
   185          ?       1:ad      +  *1      0    
   186          ?    2:nonad      +   0     *1    
   187          ?    2:nonad      +   0     *1    
   188          ?    2:nonad      +   0     *1    
   189          ?    2:nonad      +   0     *1    
   190          ?    2:nonad      +   0     *1    
   191          ?    2:nonad      +   0     *1    
   192          ?    2:nonad      +   0     *1    
   193          ?    2:nonad      +   0     *1    
   194          ?    2:nonad      +   0     *1    
   195          ?    2:nonad      +   0     *1    
   196          ?    2:nonad      +   0     *1    
   197          ?    2:nonad      +   0     *1    
   198          ?    2:nonad      +   0     *1    
   199          ?    2:nonad      +   0     *1    
   200          ?    2:nonad      +   0     *1    
   201          ?    2:nonad      +   0     *1    
   202          ?    2:nonad      +   0     *1    
   203          ?    2:nonad      +   0     *1    
   204          ?    2:nonad      +   0     *1    
   205          ?    2:nonad      +   0     *1    
   206          ?    2:nonad      +   0     *1    
   207          ?    2:nonad      +   0     *1    
   208          ?    2:nonad      +   0     *1    
   209          ?    2:nonad      +   0     *1    
   210          ?    2:nonad      +   0     *1    
   211          ?    2:nonad      +   0     *1    
   212          ?    2:nonad      +   0     *1    
   213          ?    2:nonad      +   0     *1    
   214          ?    2:nonad      +   0     *1    
   215          ?    2:nonad      +   0     *1    
   216          ?    2:nonad      +   0     *1    
   217          ?    2:nonad      +   0     *1    
   218          ?       1:ad      +  *1      0    
   219          ?    2:nonad      +   0     *1    
   220          ?    2:nonad      +   0     *1    
   221          ?    2:nonad      +   0     *1    
   222          ?    2:nonad      +   0     *1    
   223          ?    2:nonad      +   0     *1    
   224          ?    2:nonad      +   0     *1    
   225          ?    2:nonad      +   0     *1    
   226          ?    2:nonad      +   0     *1    
   227          ?    2:nonad      +   0     *1    
   228          ?    2:nonad      +   0     *1    
   229          ?    2:nonad      +   0     *1    
   230          ?    2:nonad      +   0     *1    
